language,entity id,languageLabel,function name,abstract line,eng concrete line,eng lexicon line
http://www.wikidata.org/entity/Q35377,Q35377,Efik,Q35377_Efik,Q35377_Efik : Language ;,Q35377_Efik = mkNP Efik_N ;,"Efik_N : N = mkN ""Efik"" ;"
http://www.wikidata.org/entity/Q29919,Q29919,Egyptian Arabic,Q29919_Egyptian_Arabic,Q29919_Egyptian_Arabic : Language ;,Q29919_Egyptian_Arabic = mkNP Egyptian_Arabic_N ;,"Egyptian_Arabic_N : N = mkN ""Egyptian Arabic"" ;"
http://www.wikidata.org/entity/Q1057898,Q1057898,Emilian,Q1057898_Emilian,Q1057898_Emilian : Language ;,Q1057898_Emilian = mkNP Emilian_N ;,"Emilian_N : N = mkN ""Emilian"" ;"
http://www.wikidata.org/entity/Q242648,Q242648,Emilian–Romagnol,Q242648_Emilian_Romagnol,Q242648_Emilian_Romagnol : Language ;,Q242648_Emilian_Romagnol = mkNP Emilian_Romagnol_N ;,"Emilian_Romagnol_N : N = mkN ""Emilian–Romagnol"" ;"
http://www.wikidata.org/entity/Q1860,Q1860,English,Q1860_English,Q1860_English : Language ;,Q1860_English = mkNP English_N ;,"English_N : N = mkN ""English"" ;"
http://www.wikidata.org/entity/Q143,Q143,Esperanto,Q143_Esperanto,Q143_Esperanto : Language ;,Q143_Esperanto = mkNP Esperanto_N ;,"Esperanto_N : N = mkN ""Esperanto"" ;"
http://www.wikidata.org/entity/Q9072,Q9072,Estonian,Q9072_Estonian,Q9072_Estonian : Language ;,Q9072_Estonian = mkNP Estonian_N ;,"Estonian_N : N = mkN ""Estonian"" ;"
http://www.wikidata.org/entity/Q30005,Q30005,Ewe,Q30005_Ewe,Q30005_Ewe : Language ;,Q30005_Ewe = mkNP Ewe_N ;,"Ewe_N : N = mkN ""Ewe"" ;"
http://www.wikidata.org/entity/Q1412,Q1412,Finnish,Q1412_Finnish,Q1412_Finnish : Language ;,Q1412_Finnish = mkNP Finnish_N ;,"Finnish_N : N = mkN ""Finnish"" ;"
http://www.wikidata.org/entity/Q33291,Q33291,Fon,Q33291_Fon,Q33291_Fon : Language ;,Q33291_Fon = mkNP Fon_N ;,"Fon_N : N = mkN ""Fon"" ;"
