ID,WD_eng,WD_url
K’iche’,K’iche’,http://www.wikidata.org/entity/Q36494
Kabardian,Kabardian,http://www.wikidata.org/entity/Q33522
Kabyle,Kabyle,http://www.wikidata.org/entity/Q35853
Kam,Kam,http://www.wikidata.org/entity/Q35379
Kamba,Kamba,http://www.wikidata.org/entity/Q2574767
Kannada,Kannada,http://www.wikidata.org/entity/Q33673
Kanuri,Kanuri,http://www.wikidata.org/entity/Q36094
Kapampangan,Kapampangan,http://www.wikidata.org/entity/Q36121
Karai-karai,Karai-karai,http://www.wikidata.org/entity/Q3438770
Karay-a,Karay-a,http://www.wikidata.org/entity/Q33720
Karenic,Karenic,http://www.wikidata.org/entity/Q1364815
Kashmiri,Kashmiri,http://www.wikidata.org/entity/Q33552
Kazakh,Kazakh,http://www.wikidata.org/entity/Q9252
Kelantan-Pattani Malay,Kelantan-Pattani Malay,http://www.wikidata.org/entity/Q1199751
Khalkha Mongolian,Khalkha Mongolian,http://www.wikidata.org/entity/Q6399808
Khams Tibetan,Khams Tibetan,http://www.wikidata.org/entity/Q56601
Khandeshi,Khandeshi,http://www.wikidata.org/entity/Q33726
Khmer,Khmer,http://www.wikidata.org/entity/Q9205
Kiga,Kiga,http://www.wikidata.org/entity/Q3270727
Kinyarwanda,Kinyarwanda,http://www.wikidata.org/entity/Q33573
Kirundi,Kirundi,http://www.wikidata.org/entity/Q33583
Kongo,Kongo,http://www.wikidata.org/entity/Q33702
Kongu Tamil,Kongu Tamil,http://www.wikidata.org/entity/Q6429269
Konkani,Konkani,http://www.wikidata.org/entity/Q34239
Korean,Korean,http://www.wikidata.org/entity/Q9176
Kumaoni,Kumaoni,http://www.wikidata.org/entity/Q33529
Kurdish,Kurdish,http://www.wikidata.org/entity/Q36368
Kurmanji,Kurmanji,http://www.wikidata.org/entity/Q36163
Kurukh,Kurukh,http://www.wikidata.org/entity/Q33492
Kyrgyz,Kyrgyz,http://www.wikidata.org/entity/Q9255
Laki,Laki,http://www.wikidata.org/entity/Q56483
Lambadi,Lambadi,http://www.wikidata.org/entity/Q33474
Lango,Lango,http://www.wikidata.org/entity/Q35670
Lao,Lao,http://www.wikidata.org/entity/Q9211
Latvian,Latvian,http://www.wikidata.org/entity/Q9078
Leeward Caribbean Creole,Leeward Caribbean Creole,http://www.wikidata.org/entity/Q3244184
Levantine Arabic,Levantine Arabic,http://www.wikidata.org/entity/Q56593
Libyan Arabic,Libyan Arabic,http://www.wikidata.org/entity/Q56503
Limburgish,Limburgish,http://www.wikidata.org/entity/Q102172
Lingala,Lingala,http://www.wikidata.org/entity/Q36217
Lithuanian,Lithuanian,http://www.wikidata.org/entity/Q9083
Lombard,Lombard,http://www.wikidata.org/entity/Q33754
Low German,Low German,http://www.wikidata.org/entity/Q25433
Luba-Kasai,Luba-Kasai,http://www.wikidata.org/entity/Q34173
Luganda,Luganda,http://www.wikidata.org/entity/Q33368
Macedonian,Macedonian,http://www.wikidata.org/entity/Q9296
Madurese,Madurese,http://www.wikidata.org/entity/Q36213
Magahi,Magahi,http://www.wikidata.org/entity/Q33728
Maguindanao,Maguindanao,http://www.wikidata.org/entity/Q33717
Maithili,Maithili,http://www.wikidata.org/entity/Q36109
Makassar,Makassar,http://www.wikidata.org/entity/Q33643
Makhuwa,Makhuwa,http://www.wikidata.org/entity/Q33882
Makonde,Makonde,http://www.wikidata.org/entity/Q35172
Malagasy,Malagasy,http://www.wikidata.org/entity/Q7930
Malay,Malay,http://www.wikidata.org/entity/Q9237
Malayalam,Malayalam,http://www.wikidata.org/entity/Q36236
Malaysian Malay,Malaysian Malay,http://www.wikidata.org/entity/Q15065
Malvi,Malvi,http://www.wikidata.org/entity/Q33413
Mandailing Batak,Mandailing Batak,http://www.wikidata.org/entity/Q2891049
Mandarin,Mandarin,http://www.wikidata.org/entity/Q9192
Mandinka,Mandinka,http://www.wikidata.org/entity/Q33678
Maninka,Maninka,http://www.wikidata.org/entity/Q36186
Marathi,Marathi,http://www.wikidata.org/entity/Q1571
Marwari,Marwari,http://www.wikidata.org/entity/Q56312
Marwari,Marwari,http://www.wikidata.org/entity/Q65455884
Mazanderani,Mazanderani,http://www.wikidata.org/entity/Q13356
Meitei,Meitei,http://www.wikidata.org/entity/Q33868
Merwari,Merwari,http://www.wikidata.org/entity/Q11732445
Mesopotamian Arabic,Mesopotamian Arabic,http://www.wikidata.org/entity/Q56232
Mewari,Mewari,http://www.wikidata.org/entity/Q2992857
Mewati,Mewati,http://www.wikidata.org/entity/Q2605943
Miao,Miao,http://www.wikidata.org/entity/Q33813
Minangkabau,Minangkabau,http://www.wikidata.org/entity/Q13324
Modern Greek,Modern Greek,http://www.wikidata.org/entity/Q36510
Mongolian,Mongolian,http://www.wikidata.org/entity/Q9246
Mooré,Mooré,http://www.wikidata.org/entity/Q36096
Moroccan Darija,Moroccan Darija,http://www.wikidata.org/entity/Q56426
Mundari,Mundari,http://www.wikidata.org/entity/Q3327828
Muong,Muong,http://www.wikidata.org/entity/Q3236789
Nagpuri,Nagpuri,http://www.wikidata.org/entity/Q765922
Nahuatl,Nahuatl,http://www.wikidata.org/entity/Q13300
Neapolitan,Neapolitan,http://www.wikidata.org/entity/Q33845
Negeri Sembilan Malay,Negeri Sembilan Malay,http://www.wikidata.org/entity/Q3915909
Nepali,Nepali,http://www.wikidata.org/entity/Q33823
New Persian,New Persian,http://www.wikidata.org/entity/Q56356571
Nigerian Fulfulde,Nigerian Fulfulde,http://www.wikidata.org/entity/Q36129
Nigerian Pidgin,Nigerian Pidgin,http://www.wikidata.org/entity/Q33655
Nimadi,Nimadi,http://www.wikidata.org/entity/Q3502294
North Azerbaijani,North Azerbaijani,http://www.wikidata.org/entity/Q3515311
North Levantine Arabic,North Levantine Arabic,http://www.wikidata.org/entity/Q22809485
Northern Khmer,Northern Khmer,http://www.wikidata.org/entity/Q3502234
Northern Luri,Northern Luri,http://www.wikidata.org/entity/Q19933293
Northern Min,Northern Min,http://www.wikidata.org/entity/Q36457
Northern Ndebele,Northern Ndebele,http://www.wikidata.org/entity/Q35613
Northern Pashto,Northern Pashto,http://www.wikidata.org/entity/Q12642194
Northern Sotho,Northern Sotho,http://www.wikidata.org/entity/Q33890
Northern Thai,Northern Thai,http://www.wikidata.org/entity/Q565110
Norwegian,Norwegian,http://www.wikidata.org/entity/Q9043
Nuosu,Nuosu,http://www.wikidata.org/entity/Q34235
Odia,Odia,http://www.wikidata.org/entity/Q33810
Oromo,Oromo,http://www.wikidata.org/entity/Q33864
Pangasinan,Pangasinan,http://www.wikidata.org/entity/Q33879
Pashto,Pashto,http://www.wikidata.org/entity/Q58680
Persian,Persian,http://www.wikidata.org/entity/Q9168
Piedmontese,Piedmontese,http://www.wikidata.org/entity/Q15085
Polish,Polish,http://www.wikidata.org/entity/Q809
Portuguese,Portuguese,http://www.wikidata.org/entity/Q5146
Pulaar,Pulaar,http://www.wikidata.org/entity/Q1420205
Punjabi,Punjabi,http://www.wikidata.org/entity/Q58635
Pu-Xian Min,Pu-Xian Min,http://www.wikidata.org/entity/Q56583
Quechua,Quechua,http://www.wikidata.org/entity/Q5218
Rajasthani,Rajasthani,http://www.wikidata.org/entity/Q13196
Rohingya,Rohingya,http://www.wikidata.org/entity/Q3241177
Romagnol,Romagnol,http://www.wikidata.org/entity/Q1641543
Romani,Romani,http://www.wikidata.org/entity/Q13201
Romanian,Romanian,http://www.wikidata.org/entity/Q7913
Runyankole,Runyankole,http://www.wikidata.org/entity/Q13207
Russian,Russian,http://www.wikidata.org/entity/Q7737
Sabah Malay,Sabah Malay,http://www.wikidata.org/entity/Q10867404
Saʽidi Arabic,Saʽidi Arabic,http://www.wikidata.org/entity/Q56592
Sambalpuri,Sambalpuri,http://www.wikidata.org/entity/Q6433240
Sanʽani Arabic,Sanʽani Arabic,http://www.wikidata.org/entity/Q56578
Sango,Sango,http://www.wikidata.org/entity/Q33954
Santali,Santali,http://www.wikidata.org/entity/Q33965
Saraiki,Saraiki,http://www.wikidata.org/entity/Q33902
Sardinian,Sardinian,http://www.wikidata.org/entity/Q33976
Sasak,Sasak,http://www.wikidata.org/entity/Q1294047
Scots,Scots,http://www.wikidata.org/entity/Q14549
Sebat Bet Gurage,Sebat Bet Gurage,http://www.wikidata.org/entity/Q2707343
Serbian,Serbian,http://www.wikidata.org/entity/Q9299
Serbo-Croatian,Serbo-Croatian,http://www.wikidata.org/entity/Q9301
Serer,Serer,http://www.wikidata.org/entity/Q36284
Sesotho,Sesotho,http://www.wikidata.org/entity/Q34340
S'gaw Karen,S'gaw Karen,http://www.wikidata.org/entity/Q56410
Shan,Shan,http://www.wikidata.org/entity/Q56482
Shawiya,Shawiya,http://www.wikidata.org/entity/Q33274
Shilluk,Shilluk,http://www.wikidata.org/entity/Q36486
Shona,Shona,http://www.wikidata.org/entity/Q34004
Sicilian,Sicilian,http://www.wikidata.org/entity/Q33973
Sidamo,Sidamo,http://www.wikidata.org/entity/Q33786
Sindhi,Sindhi,http://www.wikidata.org/entity/Q33997
Sinhala,Sinhala,http://www.wikidata.org/entity/Q13267
Slovak,Slovak,http://www.wikidata.org/entity/Q9058
Slovene,Slovene,http://www.wikidata.org/entity/Q9063
Somali,Somali,http://www.wikidata.org/entity/Q13275
Soninke,Soninke,http://www.wikidata.org/entity/Q36660
Sorani,Sorani,http://www.wikidata.org/entity/Q36811
South Azerbaijani,South Azerbaijani,http://www.wikidata.org/entity/Q3449805
South Bolivian Quechua,South Bolivian Quechua,http://www.wikidata.org/entity/Q1307730
South Levantine Arabic,South Levantine Arabic,http://www.wikidata.org/entity/Q55633582
Southern Kurdish,Southern Kurdish,http://www.wikidata.org/entity/Q1496597
Southern Min,Southern Min,http://www.wikidata.org/entity/Q36495
Southern Pashto,Southern Pashto,http://www.wikidata.org/entity/Q16112855
Southern Thai,Southern Thai,http://www.wikidata.org/entity/Q56508
Southern Uzbek,Southern Uzbek,http://www.wikidata.org/entity/Q1066787
Spanish,Spanish,http://www.wikidata.org/entity/Q1321
Standard Estonian,Standard Estonian,http://www.wikidata.org/entity/Q12361545
Standard Indonesian,Standard Indonesian,http://www.wikidata.org/entity/Q110620923
Standard Mandarin,Standard Mandarin,http://www.wikidata.org/entity/Q727694
Standard Persian,Standard Persian,http://www.wikidata.org/entity/Q17993025
Sudanese Arabic,Sudanese Arabic,http://www.wikidata.org/entity/Q56573
Sukuma,Sukuma,http://www.wikidata.org/entity/Q2638144
Sundanese,Sundanese,http://www.wikidata.org/entity/Q34002
Susu,Susu,http://www.wikidata.org/entity/Q33990
Swahili,Swahili,http://www.wikidata.org/entity/Q7838
Swahili,Swahili,http://www.wikidata.org/entity/Q3197533
Swazi,Swazi,http://www.wikidata.org/entity/Q34014
Swedish,Swedish,http://www.wikidata.org/entity/Q9027
Swiss German,Swiss German,http://www.wikidata.org/entity/Q387066
Sylheti,Sylheti,http://www.wikidata.org/entity/Q2044560
Tày,Tày,http://www.wikidata.org/entity/Q2511476
Tachelhit,Tachelhit,http://www.wikidata.org/entity/Q34152
Taʽizzi-Adeni Arabic,Taʽizzi-Adeni Arabic,http://www.wikidata.org/entity/Q56579
Tagalog,Tagalog,http://www.wikidata.org/entity/Q34057
Tajik,Tajik,http://www.wikidata.org/entity/Q9260
Tamil,Tamil,http://www.wikidata.org/entity/Q5885
Tarifit,Tarifit,http://www.wikidata.org/entity/Q34174
Tatar,Tatar,http://www.wikidata.org/entity/Q25285
Tausug,Tausug,http://www.wikidata.org/entity/Q34142
Telugu,Telugu,http://www.wikidata.org/entity/Q8097
Thai,Thai,http://www.wikidata.org/entity/Q9217
Tibetan,Tibetan,http://www.wikidata.org/entity/Q34271
Tigrinya,Tigrinya,http://www.wikidata.org/entity/Q34124
Toba Batak,Toba Batak,http://www.wikidata.org/entity/Q33017
Tok Pisin,Tok Pisin,http://www.wikidata.org/entity/Q34159
Tonga,Tonga,http://www.wikidata.org/entity/Q34101
Tosk,Tosk,http://www.wikidata.org/entity/Q180937
Tsonga,Tsonga,http://www.wikidata.org/entity/Q34327
Tswa,Tswa,http://www.wikidata.org/entity/Q2085051
Tswana,Tswana,http://www.wikidata.org/entity/Q34137
Tuareg,Tuareg,http://www.wikidata.org/entity/Q34065
Tulu,Tulu,http://www.wikidata.org/entity/Q34251
Tumbuka,Tumbuka,http://www.wikidata.org/entity/Q34138
Tunisian Arabic,Tunisian Arabic,http://www.wikidata.org/entity/Q56240
Turkish,Turkish,http://www.wikidata.org/entity/Q256
Turkmen,Turkmen,http://www.wikidata.org/entity/Q9267
Twi,Twi,http://www.wikidata.org/entity/Q36850
Ukrainian,Ukrainian,http://www.wikidata.org/entity/Q8798
Umbundu,Umbundu,http://www.wikidata.org/entity/Q36983
Upper Saxon,Upper Saxon,http://www.wikidata.org/entity/Q699284
Urhobo,Urhobo,http://www.wikidata.org/entity/Q36663
Uyghur,Uyghur,http://www.wikidata.org/entity/Q13263
Uzbek,Uzbek,http://www.wikidata.org/entity/Q9264
Valencian,Valencian,http://www.wikidata.org/entity/Q32641
Venda,Venda,http://www.wikidata.org/entity/Q32704
Venetian,Venetian,http://www.wikidata.org/entity/Q32724
Vietnamese,Vietnamese,http://www.wikidata.org/entity/Q9199
Waray,Waray,http://www.wikidata.org/entity/Q34279
West Flemish,West Flemish,http://www.wikidata.org/entity/Q100103
West Low German,West Low German,http://www.wikidata.org/entity/Q168446
Western Armenian,Western Armenian,http://www.wikidata.org/entity/Q180945
Wolayttattuwa,Wolayttattuwa,http://www.wikidata.org/entity/Q36943
Wolof,Wolof,http://www.wikidata.org/entity/Q34257
Wu Chinese,Wu Chinese,http://www.wikidata.org/entity/Q34290
Xhosa,Xhosa,http://www.wikidata.org/entity/Q13218
Xiang Chinese,Xiang Chinese,http://www.wikidata.org/entity/Q13220
Yongbei Zhuang,Yongbei Zhuang,http://www.wikidata.org/entity/Q8054983
Yoruba,Yoruba,http://www.wikidata.org/entity/Q34311
Yue Chinese,Yue Chinese,http://www.wikidata.org/entity/Q7033959
Zazaki,Zazaki,http://www.wikidata.org/entity/Q10199
Zhuang,Zhuang,http://www.wikidata.org/entity/Q13216
Zulu,Zulu,http://www.wikidata.org/entity/Q10179
