city,entity id,cityLabel_en,function name
http://www.wikidata.org/entity/Q437,Q437,Ljubljana,Q437_Ljubljana
http://www.wikidata.org/entity/Q101418,Q101418,Lobamba,Q101418_Lobamba
http://www.wikidata.org/entity/Q3792,Q3792,Lomé,Q3792_Lome
http://www.wikidata.org/entity/Q84,Q84,London,Q84_London
http://www.wikidata.org/entity/Q3897,Q3897,Luanda,Q3897_Luanda
http://www.wikidata.org/entity/Q3881,Q3881,Lusaka,Q3881_Lusaka
http://www.wikidata.org/entity/Q1842,Q1842,Luxembourg,Q1842_Luxembourg
http://www.wikidata.org/entity/Q2807,Q2807,Madrid,Q2807_Madrid
http://www.wikidata.org/entity/Q466054,Q466054,Mahdia,Q466054_Mahdia
http://www.wikidata.org/entity/Q12919,Q12919,Majuro,Q12919_Majuro
http://www.wikidata.org/entity/Q3818,Q3818,Malabo,Q3818_Malabo
http://www.wikidata.org/entity/Q9347,Q9347,Malé,Q9347_Male
http://www.wikidata.org/entity/Q3274,Q3274,Managua,Q3274_Managua
http://www.wikidata.org/entity/Q3882,Q3882,Manama,Q3882_Manama
http://www.wikidata.org/entity/Q1461,Q1461,Manila,Q1461_Manila
http://www.wikidata.org/entity/Q3889,Q3889,Maputo,Q3889_Maputo
http://www.wikidata.org/entity/Q3909,Q3909,Maseru,Q3909_Maseru
http://www.wikidata.org/entity/Q3904,Q3904,Mbabane,Q3904_Mbabane
http://www.wikidata.org/entity/Q1489,Q1489,Mexico City,Q1489_Mexico_City
http://www.wikidata.org/entity/Q5306051,Q5306051,Miccosukee,Q5306051_Miccosukee
http://www.wikidata.org/entity/Q2280,Q2280,Minsk,Q2280_Minsk
http://www.wikidata.org/entity/Q2449,Q2449,Mogadishu,Q2449_Mogadishu
http://www.wikidata.org/entity/Q3748,Q3748,Monrovia,Q3748_Monrovia
http://www.wikidata.org/entity/Q1335,Q1335,Montevideo,Q1335_Montevideo
http://www.wikidata.org/entity/Q3901,Q3901,Moroni,Q3901_Moroni
http://www.wikidata.org/entity/Q649,Q649,Moscow,Q649_Moscow
http://www.wikidata.org/entity/Q3826,Q3826,Muscat,Q3826_Muscat
http://www.wikidata.org/entity/Q3659,Q3659,N'Djamena,Q3659_NDjamena
http://www.wikidata.org/entity/Q3870,Q3870,Nairobi,Q3870_Nairobi
http://www.wikidata.org/entity/Q2467,Q2467,Nassau,Q2467_Nassau
http://www.wikidata.org/entity/Q37400,Q37400,Naypyidaw,Q37400_Naypyidaw
http://www.wikidata.org/entity/Q987,Q987,New Delhi,Q987_New_Delhi
http://www.wikidata.org/entity/Q515229,Q515229,Ngerulmud,Q515229_Ngerulmud
http://www.wikidata.org/entity/Q3674,Q3674,Niamey,Q3674_Niamey
http://www.wikidata.org/entity/Q3856,Q3856,Nicosia,Q3856_Nicosia
http://www.wikidata.org/entity/Q3688,Q3688,Nouakchott,Q3688_Nouakchott
http://www.wikidata.org/entity/Q38834,Q38834,Nukuʻalofa,Q38834_Nukualofa
http://www.wikidata.org/entity/Q226,Q226,Nuuk,Q226_Nuuk
