currency,entity id,currencyLabel_en,function name
http://www.wikidata.org/entity/Q4613,Q4613,Tongan paʻanga,Q4613_Tongan_paanga
http://www.wikidata.org/entity/Q200979,Q200979,Transnistrian ruble,Q200979_Transnistrian_ruble
http://www.wikidata.org/entity/Q242890,Q242890,Trinidad and Tobago dollar,Q242890_Trinidad_and_Tobago_dollar
http://www.wikidata.org/entity/Q4602,Q4602,Tunisian dinar,Q4602_Tunisian_dinar
http://www.wikidata.org/entity/Q172872,Q172872,Turkish lira,Q172872_Turkish_lira
http://www.wikidata.org/entity/Q486637,Q486637,Turkmenistan new manat,Q486637_Turkmenistan_new_manat
http://www.wikidata.org/entity/Q4406,Q4406,Tuvaluan dollar,Q4406_Tuvaluan_dollar
http://www.wikidata.org/entity/Q4598,Q4598,Ugandan shilling,Q4598_Ugandan_shilling
http://www.wikidata.org/entity/Q200294,Q200294,United Arab Emirates dirham,Q200294_United_Arab_Emirates_dirham
http://www.wikidata.org/entity/Q4917,Q4917,United States dollar,Q4917_United_States_dollar
http://www.wikidata.org/entity/Q209272,Q209272,Uruguayan peso,Q209272_Uruguayan_peso
http://www.wikidata.org/entity/Q487888,Q487888,Uzbekistani som,Q487888_Uzbekistani_som
http://www.wikidata.org/entity/Q207523,Q207523,Vanuatu vatus,Q207523_Vanuatu_vatus
http://www.wikidata.org/entity/Q192090,Q192090,Vietnamese đồng,Q192090_Vietnamese_dong
http://www.wikidata.org/entity/Q861690,Q861690,West African CFA franc,Q861690_West_African_CFA_franc
http://www.wikidata.org/entity/Q240512,Q240512,Yemeni Rial,Q240512_Yemeni_Rial
http://www.wikidata.org/entity/Q73408,Q73408,Zambian Kwacha,Q73408_Zambian_Kwacha
http://www.wikidata.org/entity/Q182803,Q182803,Zimbabwean dollar,Q182803_Zimbabwean_dollar
http://www.wikidata.org/entity/Q199471,Q199471,afghani,Q199471_Afghani
http://www.wikidata.org/entity/Q4584,Q4584,ariary,Q4584_Ariary
http://www.wikidata.org/entity/Q177882,Q177882,baht,Q177882_Baht
http://www.wikidata.org/entity/Q206243,Q206243,bir,Q206243_Bir
http://www.wikidata.org/entity/Q131723,Q131723,bitcoin,Q131723_Bitcoin
http://www.wikidata.org/entity/Q200737,Q200737,boliviano,Q200737_Boliviano
