currency,currencyLabel_en,currencyDescription_en
http://www.wikidata.org/entity/Q26365,Eastern Caribbean dollar,currency of all members of the OECS
http://www.wikidata.org/entity/Q35881,Kyrgyz som,currency of Kyrgyzstan
http://www.wikidata.org/entity/Q39099,renminbi,official currency of the People's Republic of China
http://www.wikidata.org/entity/Q41044,Russian ruble,currency of the Russian Federation
http://www.wikidata.org/entity/Q41429,Gibraltar pound,currency
http://www.wikidata.org/entity/Q41588,rupiah,official currency of Indonesia
http://www.wikidata.org/entity/Q4406,Tuvaluan dollar,"currency of Tuvalu, pegged at par with the Australian dollar"
http://www.wikidata.org/entity/Q4584,ariary,currency of Madagascar
http://www.wikidata.org/entity/Q4587,leone,currency of Sierra Leone
http://www.wikidata.org/entity/Q4588,Samoan Tālā,currency of Samoa
http://www.wikidata.org/entity/Q4589,Tanzanian shilling,currency of Tanzania
http://www.wikidata.org/entity/Q4591,Cape Verdean escudo,currency of the Republic of Cape Verde
http://www.wikidata.org/entity/Q4592,Fijian dollar,currency of Fiji
http://www.wikidata.org/entity/Q4594,Djiboutian franc,currency of Djibouti
http://www.wikidata.org/entity/Q4595,Seychellois rupee,currency of the Seychelles
http://www.wikidata.org/entity/Q4596,Sri Lankan rupee,currency of Sri Lanka
http://www.wikidata.org/entity/Q4597,Solomon Islands dollar,currency of the Solomon Islands
http://www.wikidata.org/entity/Q4598,Ugandan shilling,currency of Uganda
http://www.wikidata.org/entity/Q4602,Tunisian dinar,currency of Tunisia
http://www.wikidata.org/entity/Q4603,Somali shilling,currency of Somalia
http://www.wikidata.org/entity/Q4608,Georgian lari,currency of Georgia
http://www.wikidata.org/entity/Q4613,Tongan paʻanga,currency of Tonga
http://www.wikidata.org/entity/Q4719,Honduran lempira,currency of Honduras
http://www.wikidata.org/entity/Q47190,forint,currency of Hungary
http://www.wikidata.org/entity/Q4730,Mexican peso,currency of Mexico
http://www.wikidata.org/entity/Q4734,Congolese franc,currency of the Democratic Republic of the Congo
http://www.wikidata.org/entity/Q4741,Rwandan franc,currency of Rwanda
http://www.wikidata.org/entity/Q4823,lilangeni,currency of Eswatini
http://www.wikidata.org/entity/Q4916,Euro,currency of most countries in the European Union
http://www.wikidata.org/entity/Q4917,United States dollar,official currency of the United States
http://www.wikidata.org/entity/Q8146,yen,official currency of Japan
