city,cityLabel_en,cityDescription_en
http://www.wikidata.org/entity/Q1754,Stockholm,capital and largest city of Sweden
http://www.wikidata.org/entity/Q2907,Sucre,constitutional capital of Bolivia
http://www.wikidata.org/entity/Q180773,Susa,ancient city in Iran
http://www.wikidata.org/entity/Q38807,Suva,capital city of Fiji
http://www.wikidata.org/entity/Q3932,São Tomé,capital city of São Tomé and Príncipe
http://www.wikidata.org/entity/Q16078002,Tainan Prefecture,prefecture of Taiwan under Qing dynasty
http://www.wikidata.org/entity/Q1867,Taipei,special municipality and capital city of Taiwan
http://www.wikidata.org/entity/Q15935383,Taipei Prefecture,a Qing dynasty prefecture in northern Taiwan
http://www.wikidata.org/entity/Q1770,Tallinn,capital and most populous city of Estonia
http://www.wikidata.org/entity/Q2486,Tarawa,atoll in the central Pacific Ocean and the capital of Kiribati
http://www.wikidata.org/entity/Q269,Tashkent,capital of Uzbekistan
http://www.wikidata.org/entity/Q994,Tbilisi,capital and the largest city of Georgia (country)
http://www.wikidata.org/entity/Q3238,Tegucigalpa,capital and largest city of Honduras
http://www.wikidata.org/entity/Q3616,Tehran,capital city of Iran
http://www.wikidata.org/entity/Q9270,Thimphu,capital of Bhutan
http://www.wikidata.org/entity/Q19689,Tirana,capital city of Albania and its biggest city
http://www.wikidata.org/entity/Q132572,Tiraspol,city in Moldova
http://www.wikidata.org/entity/Q1490,Tokyo,capital and largest city of Japan
http://www.wikidata.org/entity/Q3579,Tripoli,capital city of Libya
http://www.wikidata.org/entity/Q79863,Tskhinvali,"city in South Ossetia, Georgia"
http://www.wikidata.org/entity/Q3572,Tunis,capital of Tunisia
http://www.wikidata.org/entity/Q10704,Tórshavn,capital of the Faroe Islands
http://www.wikidata.org/entity/Q23430,Ulaanbaatar,capital and largest city of Mongolia
http://www.wikidata.org/entity/Q1844,Vaduz,Main place (like a capital city) of Liechtenstein
http://www.wikidata.org/entity/Q23800,Valletta,capital of Malta
http://www.wikidata.org/entity/Q3940,Victoria,capital city of the Seychelles
http://www.wikidata.org/entity/Q1741,Vienna,capital of and state in Austria
http://www.wikidata.org/entity/Q9326,Vientiane,capital of Laos
http://www.wikidata.org/entity/Q216,Vilnius,capital and largest city of Lithuania
http://www.wikidata.org/entity/Q270,Warsaw,capital and largest city of Poland
http://www.wikidata.org/entity/Q61,"Washington, D.C.",capital city of the United States of America
http://www.wikidata.org/entity/Q23661,Wellington,"capital city of New Zealand; urban area of the cities of Wellington, Lower Hutt, Upper Hutt, and Porirua"
http://www.wikidata.org/entity/Q3935,Windhoek,capital of the Republic of Namibia
http://www.wikidata.org/entity/Q42757437,World Headquarters of the Bektashi,cultural heritage monument of Albania
http://www.wikidata.org/entity/Q3768,Yamoussoukro,capital city of Côte d'Ivoire
http://www.wikidata.org/entity/Q3808,Yaoundé,capital of Cameroon
http://www.wikidata.org/entity/Q31026,Yaren District,district and de facto capital of Nauru
http://www.wikidata.org/entity/Q1953,Yerevan,capital of Armenia
http://www.wikidata.org/entity/Q1435,Zagreb,capital city of Croatia
